# time                  : s
# acc_x, acc_y, acc_z   : m/s^2
# gyr_x, gyr_y, gyr_z   : rad/s 
# mag_x, mag_y, mag_z   : uT 
# lat, lon              : °
# alt                   : meter

time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z,lat,lon,alt

0.0, 0.0, 0.0, 9.81, 0.0, 0.0, 0.0, 22.1, -4.5, 42.3, -7.275600, 112.793900, 10.5
0.1, 0.0, 0.0, 9.81, 0.0, 0.0, 0.0, 22.1, -4.5, 42.3, -7.275600, 112.793900, 10.5
0.2, 0.01, -0.02, 9.80, 0.0, 0.0, 0.0, 22.2, -4.6, 42.2, -7.275601, 112.793900, 10.5
0.3, -0.01, 0.01, 9.82, 0.0, 0.0, 0.0, 22.1, -4.5, 42.3, -7.275602, 112.793901, 10.5
0.4, 0.0, 0.0, 9.81, 0.0, 0.0, 0.0, 22.0, -4.4, 42.4, -7.275603, 112.793902, 10.6
0.5, 0.02, 0.0, 9.81, 0.0, 0.0, 0.0, 22.1, -4.5, 42.3, -7.275604, 112.793902, 10.6
0.6, 0.01, -0.01, 10.2, 0.01, 0.0, 0.0, 22.1, -4.5, 42.3, -7.275605, 112.793903, 10.6
0.7, -0.01, 0.0, 10.1, -0.01, 0.0, 0.0, 22.2, -4.5, 42.2, -7.275606, 112.793903, 10.7
0.8, 0.0, 0.01, 9.82, 0.0, 0.0, 0.0, 22.1, -4.4, 42.3, -7.275607, 112.793904, 10.7
0.9, 0.0, 0.0, 9.81, 0.0, 0.0, 0.0, 22.1, -4.5, 42.3, -7.275608, 112.793905, 10.7
1.0, 0.03, -0.02, 9.80, 0.02, -0.01, 0.0, 22.0, -4.6, 42.4, -7.275609, 112.793905, 10.8
1.1, -0.02, 0.01, 9.81, -0.01, 0.01, 0.0, 22.1, -4.5, 42.3, -7.275610, 112.793906, 10.8
1.2, 0.0, 0.0, 9.81, 0.0, 0.0, 0.0, 22.1, -4.5, 42.3, -7.275611, 112.793907, 10.8
1.3, 0.0, 0.0, 9.82, 0.0, 0.0, 0.0, 22.2, -4.4, 42.2, -7.275612, 112.793907, 10.9
1.4, 0.01, -0.01, 9.80, 0.01, 0.0, 0.0, 22.1, -4.5, 42.3, -7.275613, 112.793908, 10.9
1.5, -0.01, 0.01, 9.81, -0.01, 0.0, 0.0, 22.0, -4.6, 42.4, -7.275614, 112.793909, 10.9
1.6, 0.0, 0.0, 9.81, 0.0, 0.0, 0.0, 22.1, -4.5, 42.3, -7.275615, 112.793910, 11.0
1.7, 0.0, 0.0, 9.81, 0.0, 0.0, 0.0, 22.1, -4.5, 42.3, -7.275616, 112.793911, 11.0
1.8, 0.02, -0.02, 9.80, 0.02, -0.01, 0.0, 22.2, -4.4, 42.2, -7.275617, 112.793912, 11.0
1.9, -0.01, 0.01, 10.15, -0.01, 0.01, 0.0, 22.1, -4.6, 42.3, -7.275618, 112.793913, 11.1
